threshold,coverage,risk
1.0,0.005,0.0
1.0,0.01,0.0
1.0,0.015,0.0
1.0,0.02,0.0
1.0,0.025,0.0
1.0,0.03,0.0
1.0,0.035,0.0
1.0,0.04,0.0
1.0,0.045,0.1111
1.0,0.05,0.2
1.0,0.055,0.1818
1.0,0.06,0.25
1.0,0.065,0.3077
1.0,0.07,0.2857
1.0,0.075,0.3333
1.0,0.08,0.375
1.0,0.085,0.3529
1.0,0.09,0.3333
1.0,0.095,0.3158
1.0,0.1,0.3
1.0,0.105,0.2857
1.0,0.11,0.2727
1.0,0.115,0.2609
1.0,0.12,0.25
1.0,0.125,0.28
1.0,0.13,0.2692
0.95,0.135,0.2593
0.95,0.14,0.25
0.95,0.145,0.2414
0.95,0.15,0.2333
0.95,0.155,0.2581
0.9,0.16,0.25
0.9,0.165,0.2424
0.9,0.17,0.2353
0.9,0.175,0.2286
0.9,0.18,0.25
0.9,0.185,0.2432
0.9,0.19,0.2368
0.9,0.195,0.2308
0.9,0.2,0.25
0.9,0.205,0.2439
0.9,0.21,0.2381
0.9,0.215,0.2326
0.9,0.22,0.2273
0.9,0.225,0.2444
0.9,0.23,0.2391
0.9,0.235,0.234
0.9,0.24,0.2292
0.9,0.245,0.2245
0.9,0.25,0.22
0.9,0.255,0.2353
0.9,0.26,0.2308
0.9,0.265,0.2453
0.9,0.27,0.2593
0.9,0.275,0.2545
0.9,0.28,0.25
0.9,0.285,0.2456
0.9,0.29,0.2414
0.9,0.295,0.2373
0.9,0.3,0.2333
0.9,0.305,0.2295
0.9,0.31,0.2258
0.9,0.315,0.2222
0.9,0.32,0.2188
0.9,0.325,0.2154
0.9,0.33,0.2273
0.9,0.335,0.2388
0.9,0.34,0.25
0.9,0.345,0.2464
0.9,0.35,0.2429
0.9,0.355,0.2394
0.9,0.36,0.2361
0.9,0.365,0.2466
0.9,0.37,0.2432
0.9,0.375,0.24
0.9,0.38,0.2368
0.9,0.385,0.2338
0.9,0.39,0.2436
0.9,0.395,0.2405
0.9,0.4,0.25
0.9,0.405,0.2469
0.9,0.41,0.2439
0.9,0.415,0.241
0.9,0.42,0.2381
0.9,0.425,0.2471
0.9,0.43,0.2442
0.9,0.435,0.2414
0.9,0.44,0.2386
0.9,0.445,0.2472
0.9,0.45,0.2444
0.9,0.455,0.2418
0.9,0.46,0.2391
0.9,0.465,0.2473
0.9,0.47,0.2553
0.9,0.475,0.2632
0.9,0.48,0.2604
0.9,0.485,0.268
0.9,0.49,0.2653
0.9,0.495,0.2626
0.9,0.5,0.26
0.9,0.505,0.2574
0.9,0.51,0.2549
0.9,0.515,0.2524
0.9,0.52,0.25
0.9,0.525,0.2476
0.9,0.53,0.2453
0.9,0.535,0.2523
0.9,0.54,0.25
0.9,0.545,0.2477
0.9,0.55,0.2455
0.9,0.555,0.2432
0.9,0.56,0.2411
0.9,0.565,0.2478
0.9,0.57,0.2456
0.9,0.575,0.2435
0.9,0.58,0.2414
0.9,0.585,0.2393
0.9,0.59,0.2458
0.9,0.595,0.2437
0.9,0.6,0.25
0.9,0.605,0.2479
0.9,0.61,0.2459
0.9,0.615,0.252
0.9,0.62,0.25
0.9,0.625,0.248
0.9,0.63,0.254
0.9,0.635,0.252
0.9,0.64,0.25
0.9,0.645,0.2558
0.9,0.65,0.2538
0.9,0.655,0.2519
0.9,0.66,0.25
0.9,0.665,0.2481
0.9,0.67,0.2463
0.9,0.675,0.2444
0.9,0.68,0.2426
0.9,0.685,0.2409
0.9,0.69,0.2464
0.9,0.695,0.2446
0.9,0.7,0.2429
0.9,0.705,0.2482
0.9,0.71,0.2465
0.9,0.715,0.2517
0.9,0.72,0.25
0.9,0.725,0.2552
0.9,0.73,0.2534
0.9,0.735,0.2517
0.9,0.74,0.2568
0.9,0.745,0.255
0.9,0.75,0.26
0.9,0.755,0.2583
0.9,0.76,0.2566
0.9,0.765,0.2549
0.9,0.77,0.2532
0.9,0.775,0.2516
0.9,0.78,0.2564
0.9,0.785,0.2548
0.9,0.79,0.2532
0.9,0.795,0.2516
0.9,0.8,0.2562
0.9,0.805,0.2547
0.9,0.81,0.2531
0.9,0.815,0.2515
0.9,0.82,0.25
0.9,0.825,0.2485
0.9,0.83,0.253
0.9,0.835,0.2575
0.9,0.84,0.256
0.9,0.845,0.2544
0.85,0.85,0.2529
0.85,0.855,0.2515
0.8,0.86,0.2558
0.8,0.865,0.2601
0.8,0.87,0.2586
0.8,0.875,0.2629
0.8,0.88,0.2614
0.8,0.885,0.2655
0.8,0.89,0.264
0.8,0.895,0.2682
0.8,0.9,0.2667
0.8,0.905,0.2707
0.8,0.91,0.2747
0.8,0.915,0.2732
0.8,0.92,0.2772
0.8,0.925,0.2757
0.8,0.93,0.2742
0.8,0.935,0.2781
0.8,0.94,0.2766
0.8,0.945,0.2804
0.8,0.95,0.2842
0.8,0.955,0.288
0.8,0.96,0.2917
0.8,0.965,0.2902
0.8,0.97,0.2887
0.8,0.975,0.2923
0.8,0.98,0.2959
0.8,0.985,0.2995
0.8,0.99,0.298
0.8,0.995,0.2965
0.7,1.0,0.295
